school1,major_data,job,class1,class2,class3,class4,count_class,re_registration,nationality,inflow_route,whyBDA,what_to_gain,hope_for_group,previous_class_3,previous_class_4,previous_class_5,previous_class_6,previous_class_7,previous_class_8,previous_class_count,major_field,desired_career_path,completed_semester,project_type,time_input,desired_job,certificate_acquisition,desired_certificate,desired_job_except_data,incumbents_level,incumbents_lecture,incumbents_company_level,incumbents_lecture_type,incumbents_lecture_scale,incumbents_lecture_scale_reason,interested_company,expected_domain,contest_participation,onedayclass_topic,completed,major_type
22,False,대학생,1,4.0,,,2,False,내국인,에브리타임,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,프로젝트_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,자연과학 사회과학,대학원_진학,4.0,팀,2.0,C._데이터_사이언티스트,컴퓨터활용능력,ADsP SQLD 빅데이터_분석_기사 태블로_관련_자격증 구글_애널리스트,A._금융_/_보험_직무,시니어_(10년차_~),산업_트렌드_(예시:_ChatGPT로_인한_직무_변화),해외_기업_(빅테크),온_오프라인_동시,100명_이상의_리스너와_10명_이상의_현직자,다양한_사람들과_만나서_생각을_교류할_수_있기_때문,구글_딥마인드_카카오_브레인,"M._전문,_과학_및_기술_서비스업",False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용 SQL_응용,0.0,True
1,True,대학생,8,,,,1,False,내국인,지인_추천,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,6.0,팀,3.0,B._데이터_분석가 C._데이터_사이언티스트,없음,ADsP SQLD 빅데이터_분석_기사 정보처리기사,D._소프트웨어_개발자 F._PM_/_서비스_기획자,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),오프라인,3~50명_내외의_강의_리스너와_1명의_현직자,더_많은_사람들이_있으면_제가_예상하지_못한_질문도_할_수_있다고_생각하기_때문입니다.,제일_기획,"J._정보통신업,_O._공공_행정,_국방_및_사회보장_행정",False,머신러닝_/_딥러닝_응용,0.0,True
27,False,대학생,7,,,,1,False,내국인,인스타그램,BDA_학회원만의_혜택을_누리고_싶어서(현직자_강연_잡_페스티벌_기업연계_공모전_등),공모전_경험,네._오프라인으로_참여하고_싶어요,,,,,,,0,예체능,대학원_진학,8.0,개인,10.0,B._데이터_분석가 C._데이터_사이언티스트 I._마케터,ADsP,SQLD 빅데이터_분석_기사 정보처리기사,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_대기업_IT_계열_(금융__제조_...),오프라인,3~50명_내외의_강의_리스너와_1명의_현직자,인원이_너무_적으면_서로_부담스러울_수_있을_것_같지만_너무_많으면_너무_피상적인_강의가_될_것_같아서,Lg전자,"C._제조업,_K._금융_및_보험업,_R._예술,_스포츠_및_여가관련_서비스업",False,머신러닝_/_딥러닝_응용 SQL_응용 웹_크롤링,0.0,False
1,False,대학생,7,,,,1,False,내국인,에브리타임,혼자_공부하기_어려워서,프로젝트_경험,네._온라인으로_참여하고_싶어요,,,,,,,0,법학,취업,8.0,팀,2.0,B._데이터_분석가 C._데이터_사이언티스트,SQLD 정보처리기사,ADsP 빅데이터_분석_기사,A._금융_/_보험_직무,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,너무_많은_인원이_강의하면_루즈해질_것_같아서,네이버,"J._정보통신업,_K._금융_및_보험업",False,머신러닝_/_딥러닝_응용,1.0,True
16,True,대학생,8,,,,1,False,내국인,지인_추천,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,공모전_경험,네._오프라인으로_참여하고_싶어요,,,,,,,0,IT_(컴퓨터_공학_포함) 인문학,취업,7.0,팀,2.0,B._데이터_분석가,ADsP,SQLD 정보처리기사 태블로_관련_자격증 구글_애널리스트,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 F._PM_/_서비스_기획자,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,다양한_사람들에게_기회가_있으면_좋겠습니다.,네이버,"K._금융_및_보험업,_M._전문,_과학_및_기술_서비스업,_R._예술,_스포츠_및_여가관련_서비스업",False,머신러닝_/_딥러닝_응용 SQL_응용 웹_크롤링,0.0,True
81,False,대학생,1,,,,1,False,내국인,지인_추천,큰_규모인_만큼_커리큘럼이나_운영_등_관리가_잘_될것_같아서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,,0,경영학,취업,6.0,팀,1.0,B._데이터_분석가,없음,ADsP SQLD 빅데이터_분석_기사,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,그래야_직접_들을_확률이_높아져서,삼성,K._금융_및_보험업,False,Python_응용,0.0,False
20,False,대학생,1,,,,1,False,내국인,에브리타임,혼자_공부하기_어려워서,데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,6.0,팀,2.0,B._데이터_분석가 F._UI/UX_디자이너 G._PM/서비스_기획자 I._마케터 J._MD,구글_애널리스트,ADsP SQLD,B._기획_/_전략_/_경영_직무 E._UI/UX_디자이너 F._PM_/_서비스_기획자 H._마케터_/_영업관리,주니어_(0~3년차),직무_강의_(예시:_실무_진행_방식_및_직무_준비생을_위한_팁),해외_기업_(빅테크),온라인,3~50명_내외의_강의_리스너와_1명의_현직자,인원이_너무_많으면_집중하기_어렵기_때문이다,아직_없음,"J._정보통신업,_K._금융_및_보험업,_P._교육_서비스업,_U._국제_및_외국기관",False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등),0.0,False
28,False,직장인,4,6.0,,,2,False,내국인,인스타그램,혼자_공부하기_어려워서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,,0,경영학,이직,8.0,개인,2.0,A._데이터_엔지니어 B._데이터_분석가,없음,ADsP SQLD 빅데이터_분석_기사 정보처리기사 클라우드_관련_자격증,D._소프트웨어_개발자 F._PM_/_서비스_기획자,시니어_(10년차_~),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,10명_내외의_강의_리스너와_1명의_현직자,더_집중해서_강의를_들을_수_있고_세부적인_질문도_가능할_것_같아서_10명_내외로_선택하였습니다.,쏘카,"C._제조업,_J._정보통신업,_K._금융_및_보험업",False,Python_응용 SQL_응용 웹_크롤링,0.0,False
27,False,대학생,1,5.0,,,2,False,내국인,에브리타임,BDA_학회원만의_혜택을_누리고_싶어서(현직자_강연_잡_페스티벌_기업연계_공모전_등),데이터_분석_역량,네._오프라인으로_참여하고_싶어요,,,,,,,0,사회과학,취업,6.0,팀,2.0,B._데이터_분석가 C._데이터_사이언티스트 I._마케터 J._MD,없음,빅데이터_분석_기사 정보처리기사,B._기획_/_전략_/_경영_직무 H._마케터_/_영업관리,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_빅테크_IT_계열_(네카라쿠배당토),온_오프라인_동시,3~50명_내외의_강의_리스너와_1명의_현직자,리스너들과도_적당히_소통할_수_있으면서_현직자의_강의에_집중할_수_있어서,아모레퍼시픽,J._정보통신업,False,Python_응용 데이터_시각화_(Matplotlib__Seaborn_등) 머신러닝_/_딥러닝_응용,1.0,False
1,True,대학생,2,,,,1,True,내국인,기존_학회원_또는_운영진,이전_기수에_매우_만족해서,데이터_분석_역량,네._온라인으로_참여하고_싶어요,,,,,,1,1,IT_(컴퓨터_공학_포함) 사회과학,대학원_진학,2.0,팀,5.0,B._데이터_분석가,없음,빅데이터_분석_기사,A._금융_/_보험_직무 B._기획_/_전략_/_경영_직무 C._MD F._PM_/_서비스_기획자,주니어_(0~3년차),커리어_패스_과정_(예시:_비전공자/전공자의_취업_준비_및_이직_과정),국내_대기업_IT_계열_(금융__제조_...),온_오프라인_동시,10명_내외의_강의_리스너와_1명의_현직자,인원이_적어야_프로젝트성_그룹_같은경우는_집중할수있을것같다,네이버,"K._금융_및_보험업,_M._전문,_과학_및_기술_서비스업,_N._사업시설_관리,_사업_지원_및_임대_서비스업",False,SQL_응용,0.0,True
